event_id,recall_number,classification,status,year,term_init_duration,duration (month),problem type
35782,F-0984-2013,Class I,Terminated,2013,17,1,salmonella
51819,F-1778-2012,Class I,Terminated,2012,32,2,allergen/undeclared
51819,F-1776-2012,Class I,Terminated,2012,32,2,allergen/undeclared
51819,F-1775-2012,Class I,Terminated,2012,32,2,allergen/undeclared
51819,F-1780-2012,Class I,Terminated,2012,32,2,allergen/undeclared
51819,F-1779-2012,Class I,Terminated,2012,32,2,allergen/undeclared
51819,F-1777-2012,Class I,Terminated,2012,32,2,allergen/undeclared
52052,F-1771-2012,Class I,Terminated,2012,407,14,salmonella
55288,F-1476-2013,Class I,Terminated,2013,130,5,allergen/undeclared
55924,F-1851-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1855-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1848-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1852-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1853-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1856-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1847-2012,Class I,Terminated,2012,100,4,listeria
55924,F-1857-2012,Class I,Terminated,2012,100,4,listeria
61497,F-1443-2012,Class I,Terminated,2012,391,14,salmonella
61546,F-1391-2012,Class I,Terminated,2012,925,27,allergen/undeclared
61696,F-1457-2013,Class I,Terminated,2012,408,14,allergen/undeclared
61789,F-0994-2013,Class I,Terminated,2012,343,12,salmonella
61789,F-0992-2013,Class I,Terminated,2012,343,12,salmonella
61789,F-0993-2013,Class I,Terminated,2012,343,12,salmonella
61896,F-1539-2012,Class I,Terminated,2012,159,6,listeria
61896,F-1540-2012,Class I,Terminated,2012,159,6,listeria
61901,F-1600-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1587-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1578-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1555-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1583-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1619-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1615-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1601-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1621-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1559-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1608-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1590-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1550-2012,Class I,Terminated,2012,124,5,listeria
61901,F-1572-2012,Class I,Terminated,2012,124,5,listeria
