Year,Month,Oil_Price
1995,January,18.39
1995,February,18.49
1995,March,19.17
1995,April,20.38
1995,May,18.89
1995,June,17.4
1995,July,17.56
1995,August,17.84
1995,September,17.54
1995,October,17.64
1995,November,18.18
1995,December,19.55
1996,January,17.74
1996,February,19.54
1996,March,21.47
1996,April,21.2
1996,May,19.76
1996,June,20.92
1996,July,20.42
1996,August,22.25
1996,September,24.38
1996,October,23.35
1996,November,23.75
1996,December,25.92
1997,January,24.15
1997,February,20.3
1997,March,20.41
1997,April,20.21
1997,May,20.88
1997,June,19.8
1997,July,20.14
1997,August,19.61
1997,September,21.18
1997,October,21.08
1997,November,19.15
1997,December,17.64
1998,January,17.21
1998,February,15.44
1998,March,15.61
1998,April,15.39
1998,May,15.2
1998,June,14.18
1998,July,14.21
1998,August,13.34
1998,September,16.14
1998,October,14.42
1998,November,11.22
1998,December,12.05
1999,January,12.75
1999,February,12.27
1999,March,16.76
1999,April,18.66
1999,May,16.84
1999,June,19.29
1999,July,20.53
1999,August,22.11
1999,September,24.51
1999,October,21.75
1999,November,24.59
1999,December,25.6
2000,January,27.64
2000,February,30.43
2000,March,26.9
2000,April,25.74
2000,May,29.01
2000,June,32.5
2000,July,27.43
2000,August,33.12
2000,September,30.84
2000,October,32.7
2000,November,33.82
2000,December,26.8
2001,January,28.66
2001,February,27.39
2001,March,26.29
2001,April,28.46
2001,May,28.37
2001,June,26.25
2001,July,26.35
2001,August,27.2
2001,September,23.43
2001,October,21.18
2001,November,19.44
2001,December,19.84
2002,January,19.48
2002,February,21.74
2002,March,26.31
2002,April,27.29
2002,May,25.31
2002,June,26.86
2002,July,27.02
2002,August,28.98
2002,September,30.45
2002,October,27.22
2002,November,26.89
2002,December,31.2
2003,January,33.51
2003,February,36.6
2003,March,31.04
2003,April,25.8
2003,May,29.56
2003,June,30.19
2003,July,30.54
2003,August,31.57
2003,September,29.2
2003,October,29.11
2003,November,30.41
2003,December,32.52
2004,January,33.05
2004,February,36.16
2004,March,35.76
2004,April,37.38
2004,May,39.88
2004,June,37.05
2004,July,43.8
2004,August,42.12
2004,September,49.64
2004,October,51.76
2004,November,49.13
2004,December,43.45
2005,January,48.2
2005,February,51.75
2005,March,55.4
2005,April,49.72
2005,May,51.97
2005,June,56.5
2005,July,60.57
2005,August,68.94
2005,September,66.24
2005,October,59.76
2005,November,57.32
2005,December,61.04
2006,January,67.92
2006,February,61.41
2006,March,66.63
2006,April,71.88
2006,May,71.29
2006,June,73.93
2006,July,74.4
2006,August,70.26
2006,September,62.91
2006,October,58.73
2006,November,63.13
2006,December,61.05
2007,January,58.14
2007,February,61.79
2007,March,65.87
2007,April,65.71
2007,May,64.01
2007,June,70.68
2007,July,78.21
2007,August,74.04
2007,September,81.66
2007,October,94.53
2007,November,88.71
2007,December,95.98
2008,January,91.75
2008,February,101.84
2008,March,101.58
2008,April,113.46
2008,May,127.35
2008,June,140
2008,July,124.08
2008,August,115.46
2008,September,100.64
2008,October,67.81
2008,November,54.43
2008,December,44.6
2009,January,41.68
2009,February,44.76
2009,March,49.66
2009,April,51.12
2009,May,66.31
2009,June,69.89
2009,July,69.45
2009,August,69.96
2009,September,70.61
2009,October,77
2009,November,77.28
2009,December,79.36
2010,January,72.89
2010,February,79.66
2010,March,83.76
2010,April,86.15
2010,May,73.97
2010,June,75.63
2010,July,78.95
2010,August,71.92
2010,September,79.97
2010,October,81.43
2010,November,84.11
2010,December,91.38
2011,January,92.19
2011,February,96.97
2011,March,106.72
2011,April,113.93
2011,May,102.7
2011,June,95.42
2011,July,95.7
2011,August,88.81
2011,September,79.2
2011,October,93.19
2011,November,100.36
2011,December,98.83
2012,January,98.48
2012,February,107.07
2012,March,103.02
2012,April,104.87
2012,May,86.53
2012,June,84.96
2012,July,88.06
2012,August,96.47
2012,September,92.19
2012,October,86.24
2012,November,88.91
2012,December,91.82
2013,January,97.49
2013,February,92.05
2013,March,97.23
2013,April,93.46
2013,May,91.97
2013,June,96.56
2013,July,105.03
2013,August,107.65
2013,September,102.33
2013,October,96.38
2013,November,92.72
2013,December,98.42
2014,January,97.49
2014,February,102.59
2014,March,101.58
2014,April,99.74
2014,May,102.71
2014,June,105.37
2014,July,98.17
2014,August,95.96
2014,September,91.16
2014,October,80.54
2014,November,66.15
2014,December,53.27
2015,January,48.24
2015,February,49.76
2015,March,47.6
2015,April,59.63
2015,May,60.3
2015,June,59.47
2015,July,47.12
2015,August,49.2
2015,September,45.09
2015,October,46.59
2015,November,41.65
2015,December,37.04
2016,January,33.62
2016,February,33.75
2016,March,38.34
2016,April,45.92
2016,May,49.1
2016,June,48.33
2016,July,41.6
2016,August,44.7
2016,September,48.24
2016,October,46.86
2016,November,49.44
2016,December,53.72
