country,country_txt,natlty1,natlty1_txt,eventid
148,Tajikistan,126,Russia,2E+11
154,Turkey,6,Armenia,2E+11
60,Guatemala,159,United States,2E+11
60,Guatemala,159,United States,2E+11
75,Italy,114,Norway,2E+11
148,Tajikistan,126,Russia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
126,Russia,147,Taiwan,2E+11
154,Turkey,126,Russia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
16,Bolivia,78,Japan,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
43,El Salvador,108,Netherlands,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
154,Turkey,71,Iran,2E+11
24,Cambodia,159,United States,2E+11
132,Sierra Leone,145,Switzerland,2E+11
31,Colombia,159,United States,2E+11
161,Uzbekistan,159,United States,2E+11
167,Yemen,126,Russia,2E+11
2,Algeria,50,France,2E+11
126,Russia,54,Georgia,2E+11
132,Sierra Leone,75,Italy,2E+11
54,Georgia,126,Russia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
31,Colombia,19,Brazil,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
50,France,75,Italy,2E+11
50,France,75,Italy,2E+11
50,France,75,Italy,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
8,Austria,34,Croatia,2E+11
151,Thailand,105,Myanmar,2E+11
70,Indonesia,7,Australia,2E+11
111,Nicaragua,159,United States,2E+11
2,Algeria,126,Russia,2E+11
151,Thailand,105,Myanmar,2E+11
8,Austria,126,Russia,2E+11
31,Colombia,55,Germany,2E+11
115,Pakistan,0,Afghanistan,2E+11
148,Tajikistan,126,Russia,2E+11
148,Tajikistan,126,Russia,2E+11
60,Guatemala,159,United States,2E+11
64,Haiti,5,Argentina,2E+11
148,Tajikistan,126,Russia,2E+11
86,Lebanon,74,Israel,2E+11
148,Tajikistan,126,Russia,2E+11
55,Germany,30,China,2E+11
108,Netherlands,154,Turkey,2E+11
148,Tajikistan,126,Russia,2E+11
79,Jordan,50,France,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
139,Spain,50,France,2E+11
46,Ethiopia,159,United States,2E+11
136,Somalia,75,Italy,2E+11
103,Morocco,126,Russia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
60,Guatemala,10,Bahamas,2E+11
74,Israel,116,West Bank and Gaza Strip,2E+11
132,Sierra Leone,145,Switzerland,2E+11
2,Algeria,116,West Bank and Gaza Strip,2E+11
78,Japan,126,Russia,2E+11
127,Rwanda,113,Nigeria,2E+11
24,Cambodia,151,Thailand,2E+11
25,Cameroon,50,France,2E+11
120,Peru,29,Chile,2E+11
120,Peru,5,Argentina,2E+11
115,Pakistan,159,United States,2E+11
55,Germany,154,Turkey,2E+11
105,Myanmar,159,United States,2E+11
151,Thailand,105,Myanmar,2E+11
151,Thailand,105,Myanmar,2E+11
17,Bosnia-Herzegovina,180,International,2E+11
17,Bosnia-Herzegovina,180,International,2E+11
43,El Salvador,159,United States,2E+11
171,Yugoslavia,130,Serbia-Montenegro,2E+11
50,France,75,Italy,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
44,Eritrea,75,Italy,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
148,Tajikistan,126,Russia,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,17,Bosnia-Herzegovina,2E+11
145,Switzerland,154,Turkey,2E+11
145,Switzerland,154,Turkey,2E+11
147,Taiwan,138,South Korea,2E+11
148,Tajikistan,126,Russia,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
86,Lebanon,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
144,Sweden,154,Turkey,2E+11
28,Chad,159,United States,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
105,Myanmar,151,Thailand,2E+11
8,Austria,154,Turkey,2E+11
121,Philippines,133,Singapore,2E+11
60,Guatemala,180,International,2E+11
101,Mexico,159,United States,2E+11
126,Russia,159,United States,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
64,Haiti,159,United States,2E+11
55,Germany,154,Turkey,2E+11
86,Lebanon,74,Israel,2E+11
24,Cambodia,30,China,2E+11
129,Senegal,50,France,2E+11
22,Burundi,137,South Africa,2E+11
22,Burundi,180,International,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
185,Zaire,127,Rwanda,2E+11
31,Colombia,75,Italy,2E+11
54,Georgia,126,Russia,2E+11
54,Georgia,126,Russia,2E+11
108,Netherlands,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
8,Austria,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
108,Netherlands,154,Turkey,2E+11
72,Iraq,71,Iran,2E+11
0,Afghanistan,115,Pakistan,2E+11
55,Germany,154,Turkey,2E+11
117,Panama,31,Colombia,2E+11
101,Mexico,159,United States,2E+11
148,Tajikistan,126,Russia,2E+11
86,Lebanon,74,Israel,2E+11
38,Denmark,154,Turkey,2E+11
50,France,103,Morocco,2E+11
101,Mexico,159,United States,2E+11
22,Burundi,57,Greece,2E+11
60,Guatemala,159,United States,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
169,Zambia,159,United States,2E+11
41,Ecuador,26,Canada,2E+11
132,Sierra Leone,86,Lebanon,2E+11
11,Bahrain,159,United States,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
31,Colombia,138,South Korea,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
148,Tajikistan,126,Russia,2E+11
154,Turkey,108,Netherlands,2E+11
122,Poland,159,United States,2E+11
157,Ukraine,8,Austria,2E+11
184,United Kingdom,72,Iraq,2E+11
31,Colombia,159,United States,2E+11
136,Somalia,55,Germany,2E+11
117,Panama,31,Colombia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
138,South Korea,78,Japan,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
148,Tajikistan,126,Russia,2E+11
140,Sri Lanka,70,Indonesia,2E+11
140,Sri Lanka,69,India,2E+11
115,Pakistan,159,United States,2E+11
111,Nicaragua,29,Chile,2E+11
46,Ethiopia,159,United States,2E+11
76,Ivory Coast,50,France,2E+11
2,Algeria,50,France,2E+11
132,Sierra Leone,86,Lebanon,2E+11
132,Sierra Leone,86,Lebanon,2E+11
4,Angola,81,Kenya,2E+11
22,Burundi,180,International,2E+11
54,Georgia,126,Russia,2E+11
55,Germany,8,Austria,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
2,Algeria,165,Vietnam,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
22,Burundi,180,International,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
7,Australia,50,France,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
19,Brazil,159,United States,2E+11
57,Greece,180,International,2E+11
148,Tajikistan,126,Russia,2E+11
7,Australia,187,Serbia,2E+11
115,Pakistan,55,Germany,2E+11
46,Ethiopia,42,Egypt,2E+11
86,Lebanon,74,Israel,2E+11
60,Guatemala,50,France,2E+11
55,Germany,159,United States,2E+11
69,India,159,United States,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
64,Haiti,75,Italy,2E+11
86,Lebanon,74,Israel,2E+11
86,Lebanon,74,Israel,2E+11
69,India,55,Germany,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
60,Guatemala,159,United States,2E+11
154,Turkey,78,Japan,2E+11
145,Switzerland,50,France,2E+11
2,Algeria,75,Italy,2E+11
55,Germany,154,Turkey,2E+11
86,Lebanon,128,Saudi Arabia,2E+11
116,West Bank and Gaza Strip,74,Israel,2E+11
24,Cambodia,78,Japan,2E+11
29,Chile,50,France,2E+11
7,Australia,50,France,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
148,Tajikistan,126,Russia,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
86,Lebanon,87,Lesotho,2E+11
90,Lithuania,159,United States,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
55,Germany,154,Turkey,2E+11
